MT_LINK_ID;ID_MAT;MT_IDMODMAT;MT_COLORE;MT_MISURA;FATT_CONV;UM_MIS;ID;CODB_IDMAT;CODB_CODICE;CODB_TIPO;CODB_DATA_ULT;CODB_ELIMINATO;CODB_DATA_INS;CODB_IDOP;CODB_DRLOCK;CODB_DRLOCK_IDOP;CODB_DRLOCK_STATO
22058;22058;22058;ARTICOLO 1;                    ;1;PZ;11067;22058;732807;1;NULL; ;NULL;0;NULL;NULL;NULL
22058;22058;22058;ARTICOLO 2;                    ;1;PZ;11068;22058;8,03283E+12;7;NULL; ;NULL;0;NULL;NULL;NULL
7277;7277;5850;ARTICOLO 3;                    ;1;PZ;11088;7277;517390;1;NULL; ;NULL;0;NULL;NULL;NULL
5758;5758;3294;ARTICOLO 4;                    ;1;PZ;11092;5758;679632;1;NULL; ;NULL;0;NULL;NULL;NULL
5758;5758;3294;ARTICOLO 5;                    ;1;PZ;11093;5758;8,0308E+12;7;NULL; ;NULL;0;NULL;NULL;NULL
24801;24801;24455;ARTICOLO 6;                    ;1;PZ;11102;24801;739871;1;NULL; ;NULL;0;NULL;NULL;NULL
19946;19946;19946;ARTICOLO 7;                    ;1;PZ;11112;19946;742283;1;NULL; ;NULL;0;NULL;NULL;NULL
